variant,split,val_size,field_mode,direction,reference,baseline_objective,neural_objective,baseline_gap_pct,neural_gap_pct,winner,urs_objective,urs_gap_pct,neural_vs_urs,neural_beats_urs,urs_neural_ties,urs_beats_neural,neural_improvement_pct,baseline_seconds,neural_seconds,neural_net_evals_mean,neural_net_evals_total,neural_model_seconds,neural_decoder_seconds
aocvrpb,heldout,8,dynamic,minimize,1.7120288610458374,1.544689565896988,1.5378811061382294,-9.77432676261228,-10.172010464895163,neural,,,,,,,0.44076556928154886,11.260293615981936,14.351922404952347,11.125,89,1.3293246729299426,12.920296740252525
mdcvrpl,heldout,8,dynamic,minimize,11.65179443359375,11.866252422332764,11.830238223075867,1.840557606480778,1.5314704571824436,neural,,,,,,,0.30350103786024984,11.393821329344064,13.810594473965466,9.625,77,1.0980761107057333,12.554091568570584
mdcvrpb,heldout,8,dynamic,minimize,10.44209098815918,9.852421522140503,9.866567611694336,-5.647043936768345,-5.511572127818644,baseline,,,,,,,-0.14357982473693104,11.797282402403653,13.352875351905823,10.0,80,1.1827292307280004,12.070674452465028
mdocvrp,seen,8,dynamic,minimize,7.626042366027832,7.750682234764099,7.7392706871032715,1.6343978010338291,1.4847586158168244,neural,,,,,,,0.14723281532099813,9.564810336567461,10.28467191522941,7.625,61,0.9065560544840991,9.2773969899863
amdcvrp,heldout,8,dynamic,minimize,1.9540473222732544,1.9417232424020767,1.9587956815958023,-0.6306950569058056,0.24300124507854168,baseline,,,,,,,-0.879241635517816,11.745733172632754,14.258343279361725,10.75,86,1.2825651434250176,12.868200006429106
apdcvrp,heldout,8,dynamic,minimize,2.850705146789551,2.822603076696396,2.7750611901283264,-0.9857936421380973,-2.6535173848622753,neural,,,,,,,1.6843277384829107,4.492021185811609,7.123862836044282,12.5,100,1.394110112451017,5.591758420690894
opdcvrp,heldout,8,dynamic,minimize,21.45525360107422,19.12348246574402,18.94792366027832,-10.86806606291269,-11.686321622739346,neural,,,,,,,0.9180273821997511,4.265134810935706,6.221418606583029,13.625,109,1.557044091168791,4.522636519744992
aspctsp,heldout,8,dynamic,minimize,,1.5123876184225082,1.5106716454029083,,,neural,,,,,,,0.11346119200511277,8.970615482889116,11.588084234856069,9.75,78,1.1199733261018991,10.359150931239128
cvrpbltw,heldout,8,dynamic,minimize,22.771591186523438,24.233150959014893,24.008101224899292,6.418347143683256,5.430055494354911,neural,,,,,,,0.9286853966957218,15.029047057963908,19.421317029278725,11.125,89,1.2327245213091373,18.002929909620434
cvrpbptw,heldout,8,dynamic,minimize,25.759891510009766,28.108809232711792,28.449990272521973,9.118507823642368,10.442973959990825,baseline,,,,,,,-1.2137868843377726,14.166166802868247,15.889296178240329,9.0,72,0.9989298488944769,14.700272277463228
ocvrpltw,heldout,8,dynamic,minimize,14.089934349060059,14.495010495185852,14.392547845840454,2.874932814380474,2.147728224160128,neural,,,,,,,0.7068822018406148,11.851860572118312,14.906253080815077,9.625,77,1.0522123090922832,13.668170236051083
ocvrpbtw,heldout,8,dynamic,minimize,13.727784156799316,14.874532461166382,15.027061462402344,8.353484373507472,9.464581397570274,baseline,,,,,,,-1.0254372810316983,9.723799355793744,11.426510116551071,9.875,79,1.103157493751496,10.177244699094445
ocvrpbpl,heldout,8,dynamic,minimize,10.633819580078125,10.577831625938416,10.4647616147995,-0.5265084076148877,-1.5898141209330492,neural,,,,,,,1.068933739327553,9.059791952371597,11.28769803699106,9.625,77,1.0572172049432993,10.039075474254787
acvrpltw,heldout,8,dynamic,minimize,3.644996166229248,3.9017820060253143,3.913041651248932,7.044886416484533,7.353793331886468,baseline,,,,,,,-0.2885769939537853,9.934791795909405,12.664034500718117,9.625,77,1.0658174506388605,11.391076676081866
acvrpbtw,heldout,8,dynamic,minimize,3.8757317066192627,3.9740467965602875,3.973897784948349,2.536684615529887,2.5328398805683836,neural,,,,,,,0.0037496189543478114,9.018336118664593,10.814158376306295,10.75,86,1.182601687964052,9.480878632050008
acvrpbpl,heldout,8,dynamic,minimize,2.196505069732666,2.2199439257383347,2.187177285552025,1.067097742165528,-0.4246648145354132,neural,,,,,,,1.4760120652782662,10.435181509237736,15.17749564209953,11.5,92,1.257017289288342,13.726163291372359
aocvrptw,heldout,8,dynamic,minimize,2.3294589519500732,2.3196091055870056,2.301749527454376,-0.4228383743281662,-1.1895219047539116,neural,,,,,,,0.7699391285200964,7.200268096290529,9.900261664763093,10.875,87,1.2097279694862664,8.532037128228694
aocvrpbl,heldout,8,dynamic,minimize,1.7873413562774658,1.543603390455246,1.5348758101463318,-13.636900694216472,-14.12520027270837,neural,,,,,,,0.5654030279332446,11.614633860532194,15.910091698169708,10.0,80,1.15411467384547,14.61141409818083
aocvrpbp,heldout,8,dynamic,minimize,1.7481025457382202,1.7813722044229507,1.780395045876503,1.903186902040739,1.8472886626136522,neural,,,,,,,0.05485426032928868,8.605936906300485,12.130413010716438,12.25,98,1.3745704288594425,10.610331349540502
mdcvrptw,seen,8,dynamic,minimize,15.558425903320312,16.244645714759827,16.131085872650146,4.410599219379054,3.680706344512802,neural,,,,,,,0.699060134050816,13.157938382122666,15.563417103607208,9.875,79,1.1426377780735493,14.26658731047064
mdcvrpbl,heldout,8,dynamic,minimize,10.824751853942871,9.888419151306152,9.94172489643097,-8.649923021520936,-8.157479907405571,baseline,,,,,,,-0.5390724675923126,12.567889284342527,15.26933938357979,9.5,76,1.0797805963084102,14.03229575837031
mdcvrpbp,heldout,8,dynamic,minimize,11.496724128723145,11.862694025039673,11.910220384597778,3.1832537009581516,3.5966441504981796,baseline,,,,,,,-0.4006371525539412,9.35682967538014,10.520504968706518,8.375,67,0.9419333375990391,9.432170482352376
mdocvrpl,heldout,8,dynamic,minimize,7.9271240234375,8.024345576763153,8.026926457881927,1.2264416834933554,1.2589992808154575,baseline,,,,,,,-0.032163135224984735,10.717027255799621,12.282741460949183,8.25,66,0.9527832702733576,11.178924132604152
mdocvrpb,heldout,8,dynamic,minimize,7.523009300231934,7.572883605957031,7.560092091560364,0.6629568532310606,0.49292496989584894,neural,,,,,,,0.16891206919653876,11.012618244159967,12.098598496057093,8.125,65,0.9801011364907026,11.019558562431484
amdcvrpl,heldout,8,dynamic,minimize,2.085469961166382,2.0766782015562057,2.091174617409706,-0.42157210479593515,0.27354295911957055,baseline,,,,,,,-0.6980578812180506,12.302356721367687,16.206829788628966,11.0,88,1.2650914597325027,14.783719029277563
amdcvrpb,heldout,8,dynamic,minimize,2.2194573879241943,1.921792909502983,1.8909388184547424,-13.41158789714858,-14.801751601850194,neural,,,,,,,1.6054846958624795,13.052412971388549,16.08087824517861,11.0,88,1.3054739758372307,14.668725431431085
amdocvrp,seen,8,dynamic,minimize,1.4561562538146973,1.4685510396957397,1.4705528616905212,0.8511988908176454,0.9886719119674922,baseline,,,,,,,-0.1363127287149815,9.156046709045768,12.281268875580281,11.75,94,1.4135767463594675,10.754055643454194
aopdcvrp,heldout,8,dynamic,minimize,2.705528497695923,2.728271394968033,2.7021900415420532,0.8406083059734263,-0.12339386396087561,neural,,,,,,,0.9559662383325765,4.307533564977348,7.003410168457776,12.625,101,1.4310214980505407,5.432949926704168
cvrpbpltw,heldout,8,dynamic,minimize,26.035980224609375,28.435258388519287,28.138288974761963,9.215240383544689,8.074628771477835,neural,,,,,,,1.0443703718100392,13.630343890748918,16.849978404585272,12.625,101,1.3558377493172884,15.267938894219697
ocvrpbltw,heldout,8,dynamic,minimize,12.945807456970215,13.973196625709534,13.8820321559906,7.936076387310684,7.2318756642430095,neural,,,,,,,0.6524238666419248,10.047953876201063,12.264176590833813,8.125,65,0.8826132947579026,11.202088715974241
ocvrpbptw,heldout,8,dynamic,minimize,15.992785453796387,16.110862970352173,15.941194772720337,0.7383173925324982,-0.3225872142479292,neural,,,,,,,1.0531291709455035,8.862573931924999,11.098852779250592,10.25,82,1.114236899651587,9.809467898216099
acvrpbltw,heldout,8,dynamic,minimize,4.1280059814453125,4.3695449233055115,4.324432522058487,5.851225578302832,4.758387984321691,neural,,,,,,,1.0324279081423773,9.561682356521487,12.522113125305623,11.75,94,1.2874023667536676,11.044471468310803
acvrpbptw,heldout,8,dynamic,minimize,4.009541034698486,4.320409566164017,4.308629512786865,7.7532198517306705,7.459419307598384,neural,,,,,,,0.27266057064147053,8.33291617128998,11.350508732255548,13.125,105,1.4399282769300044,9.702680199872702
aocvrpltw,heldout,8,dynamic,minimize,2.8289997577667236,2.788563370704651,2.781974822282791,-1.4293527933701258,-1.6622460060249367,neural,,,,,,,0.2362703494952263,8.271321142558008,10.903918955475092,7.625,61,0.8385726152919233,9.878082963172346
aocvrpbtw,heldout,8,dynamic,minimize,2.6675326824188232,2.6058966368436813,2.5770605504512787,-2.3106013276378135,-3.3916035055101053,neural,,,,,,,1.1065706131510091,7.4619744759984314,10.23407472576946,11.375,91,1.2718195226043463,8.823307398241013
