name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
cvrpbp,minimize,20.373563766479492,17.46160125732422,15.517189979553223,True,31.29673473950788,12.530691963771268,14.292848038428646,8,8,14,0,False,False,False,True,False,False,False
ocvrpl,minimize,15.406885147094727,13.530386924743652,10.812519663715992,True,42.49116418993652,25.136298897546673,12.179608041700272,9,8,11,1,False,False,False,False,True,False,False
ocvrpb,minimize,15.452154159545898,12.096095085144043,8.603693231115471,True,79.59908314330406,40.59189187961994,21.719036968891345,8,8,12,1,False,False,False,False,True,False,False
acvrpl,minimize,4.220799446105957,3.7160770893096924,1.9813300371170044,True,113.02859024171268,87.5546738652832,11.957980075597137,9,8,12,0,True,False,False,False,False,False,False
acvrpb,minimize,2.787674903869629,2.6335346698760986,2.279710054397583,True,22.28199364617341,15.520597226651015,5.529347549800913,8,8,11,1,True,False,False,False,False,False,False
aocvrp,minimize,2.7852208614349365,2.4639389514923096,1.4667799472808838,True,89.88675612849617,67.98286314589717,11.5352399657492,9,8,8,0,True,False,False,False,True,False,False
mdcvrp,minimize,19.09787368774414,16.762758255004883,11.84113883972168,True,61.28409561147436,41.56373370755007,12.227096434498849,8,8,24,4,False,False,True,False,False,False,False
pdcvrp,minimize,39.68134689331055,29.724796295166016,23.626556396484375,True,67.95230852692151,25.81095525029224,25.09126170770932,9,8,8,0,False,False,False,False,False,True,False
spctsp,minimize,26.34110450744629,18.792272567749023,,False,,,28.657993204359784,9,8,8,0,False,False,False,False,False,False,True
apctsp,minimize,4.254070281982422,3.2663424015045166,1.6372369527816772,True,159.83229090662329,99.50333981620544,23.218419419662673,8,8,8,0,True,False,False,False,False,False,True
apdtsp,minimize,2.932021379470825,2.59222674369812,2.094641923904419,True,39.977212620929905,23.75512559522353,11.589091339914843,8,8,9,0,True,False,False,False,False,True,False
cvrpltw,minimize,53.84486389160156,44.15481948852539,23.951826637596405,True,124.80483307725277,84.34844305033924,17.996227871582704,8,8,8,0,False,True,False,False,False,False,False
cvrpbtw,minimize,30.456668853759766,27.975727081298828,20.63193178877529,True,47.61908465754806,35.59431742847704,8.145808014571083,9,8,9,0,False,True,False,False,False,False,False
cvrpbpl,minimize,52.24181365966797,38.77817153930664,15.336819648742676,True,240.6300318850707,152.84363008393143,25.77177394351377,10,8,9,0,False,False,False,True,False,False,False
ocvrptw,minimize,19.377361297607422,17.498355865478516,13.645712060799355,True,42.003298994367846,28.233365818606295,9.696910757198465,8,8,8,0,False,True,False,False,True,False,False
ocvrpbl,minimize,13.865439414978027,11.910384178161621,8.318098510488008,True,66.69001211629755,43.1863804347138,14.100203955342907,8,8,21,3,False,False,False,False,True,False,False
ocvrpbp,minimize,16.41386604309082,14.37016773223877,11.332929611206055,True,44.83338912526829,26.80011457963596,12.451047824362597,8,8,9,0,False,False,False,True,True,False,False
