name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
amdocvrpbp,minimize,3.778132677078247,3.767875909805298,1.7706600427627563,True,113.37425512710143,112.79499276023029,0.27147715947554046,8,0,True,False,True,True,True,False,False
aocvrpbpltw,minimize,4.88510274887085,4.88510274887085,3.575939893722534,True,36.61031488383,36.61031488383,0.0,0,0,True,True,False,True,True,False,False
mdcvrpbpltw,minimize,49.97146224975586,49.97146224975586,17.7119197845459,True,182.13464637163293,182.13464637163293,0.0,0,0,False,True,True,True,False,False,False
mdocvrpbltw,minimize,16.494403839111328,16.494403839111328,10.192261695861816,True,61.83261705111299,61.83261705111299,0.0,0,0,False,True,True,False,True,False,False
mdocvrpbptw,minimize,16.718029022216797,16.718029022216797,10.998909950256348,True,51.99714424270885,51.99714424270885,0.0,0,0,False,True,True,True,True,False,False
amdcvrpbltw,minimize,7.279699802398682,7.279699802398682,4.65995979309082,True,56.21808182105068,56.21808182105068,0.0,0,0,True,True,True,False,False,False,False
amdcvrpbptw,minimize,4.918285369873047,4.918285369873047,3.1462199687957764,True,56.323633396667205,56.323633396667205,0.0,0,0,True,True,True,True,False,False,False
amdocvrpltw,minimize,3.429492473602295,3.3934314250946045,1.8495899438858032,True,85.41907004518389,83.46939202996232,1.0514981089843993,9,0,True,True,True,False,True,False,False
amdocvrpbtw,minimize,3.5619850158691406,3.5337181091308594,2.1618199348449707,True,64.7678864671298,63.46033507107385,0.7935717475606504,9,0,True,True,True,False,True,False,False
amdocvrpbpl,minimize,3.5953965187072754,3.5917325019836426,1.6517200469970703,True,117.67590247777943,117.45407210584116,0.10190855736129514,8,0,True,False,True,True,True,False,False
mdocvrpbpltw,minimize,17.630170822143555,17.56364631652832,11.175503730773926,True,57.75728098587132,57.16201022924273,0.37733330145434196,10,0,False,True,True,True,True,False,False
amdcvrpbpltw,minimize,6.736509323120117,6.736509323120117,3.870919942855835,True,74.02863976954652,74.02863976954652,0.0,0,0,True,True,True,True,False,False,False
amdocvrpbltw,minimize,3.2829272747039795,3.2829272747039795,1.474560022354126,True,122.63775125700249,122.63775125700249,0.0,0,0,True,True,True,False,True,False,False
amdocvrpbptw,minimize,3.6304080486297607,3.6146819591522217,2.2038800716400146,True,64.72802197118635,64.01445821243624,0.43317691198582,8,0,True,True,True,True,True,False,False
amdocvrpbpltw,minimize,3.6634716987609863,3.575228691101074,1.921470046043396,True,90.65983913226444,86.06736537283123,2.408726337090486,8,0,True,True,True,True,True,False,False
